"levels","lowest","high_level","low_level","method","datasets","task_fractions","train_time","test_time","mae_error","median_ae_error","minimum_ae_error","maximum_ae_error","mae_relative","median_ae_relative","minimum_ae_relative","maximum_ae_relative","mae_std","median_ae_std","minimum_ae_std","maximum_ae_std","pearson_error","spearman_error","kendall_error","pearson_std","spearman_std","kendall_std"
2,"PBE0",5,6,"Delta","CT",1,3.09548497200012,1.48728203773499,0.150672230940122,0.094194142489879,0.000141202333931167,2.0570774964465,0.0154695341910017,0.0104599044554515,1.4136899531001E-05,0.186543022069949,0.857161102967542,0.810983599492356,0.180903399994144,1.79560418177825,0.961424180074419,0.965861483022295,0.867750783699059,0.0155884663558871,0.103834632174142,0.0688479623824451
2,"PBE0",10,11,"Delta","CT",1,0.000589132308959961,0.00983595848083496,0.145799233814922,0.102844657946343,0.00196314298954103,2.08794534136842,0.0149023543538269,0.0114473611801671,0.000250162817674743,0.189342226808939,0.706639362065291,0.651955973381982,0.179088558175692,1.68831637710128,0.962610948031469,0.968992983329915,0.876332288401254,0.00970591144848385,0.105420341018955,0.0693573667711599
2,"PBE0",20,21,"Delta","CT",1,0.0010838508605957,0.0109851360321045,0.146260990327049,0.0958695979766842,0.000909514112241411,2.1042581002206,0.0148863083690865,0.0104729006490604,0.000111288606001992,0.190821525153235,0.523125077740012,0.483315244274371,0.129910644301537,1.11928423258438,0.962435734329459,0.968171197960917,0.875078369905956,0.0195176072121524,0.112061275012451,0.0737460815047022
2,"PBE0",40,41,"Delta","CT",1,0.00243711471557617,0.0120358467102051,0.256506073180394,0.158050926677295,0.00153243247995144,2.26462326008302,0.026846707163658,0.016653512447607,0.000162404056458809,0.242846408033524,0.386625962895039,0.355541758851795,0.125962572610267,0.963430604055401,0.908991621297539,0.92905143116632,0.792789968652038,0.30216229557982,0.330055591363197,0.229937304075235
2,"PBE0",80,81,"Delta","CT",1,0.00429892539978027,0.0151581764221191,0.220664340268229,0.127884779947236,0.000704252439281045,1.96940084510559,0.0230057254497693,0.014073773128011,7.92450102698588E-05,0.193883724176577,0.288798624921747,0.267309989575599,0.115191857411298,0.83674922947894,0.916624097670002,0.944558418539243,0.821473354231975,0.33811551045832,0.334031216125157,0.230916927899686
2,"PBE0",160,161,"Delta","CT",1,0.00942897796630859,0.0178089141845703,0.16549557845568,0.0996485231888613,0.00136290955347027,2.03876501519353,0.0169585510190527,0.011200296061121,0.000137724536134385,0.186735575928099,0.205160272749225,0.190353322151928,0.0852892631442169,0.682460486474201,0.955069105532775,0.961628775671637,0.858816614420063,0.164232605268888,0.265364163712536,0.18083855799373
2,"PBE0",320,321,"Delta","CT",1,0.0281920433044434,0.0298759937286377,0.14121005176003,0.07722763442621,0.000265818215152452,1.83654877317931,0.0144979146328629,0.00863489726053282,3.12676992200059E-05,0.168214085646906,0.149777100458798,0.138851561425744,0.0714666602298989,0.47615852993896,0.962832915510231,0.973761462514282,0.882993730407523,0.136619339214122,0.243715392728445,0.163126959247649
2,"PBE0",5,6,"Delta","CAT",1,0.000298023223876953,0.00673699378967285,0.150672230940122,0.094194142489879,0.000141202333931167,2.0570774964465,0.0154695341910017,0.0104599044554515,1.4136899531001E-05,0.186543022069949,0.857161102967542,0.810983599492356,0.180903399994144,1.79560418177825,0.961424180074419,0.965861483022295,0.867750783699059,0.0155884663558871,0.103834632174142,0.0688479623824451
2,"PBE0",10,11,"Delta","CAT",1,0.000285863876342773,0.00625514984130859,0.145799233814922,0.102844657946343,0.00196314298954103,2.08794534136842,0.0149023543538269,0.0114473611801671,0.000250162817674743,0.189342226808939,0.706639362065291,0.651955973381982,0.179088558175692,1.68831637710128,0.962610948031469,0.968992983329915,0.876332288401254,0.00970591144848385,0.105420341018955,0.0693573667711599
2,"PBE0",20,21,"Delta","CAT",1,0.000702142715454102,0.00702095031738281,0.146260990327049,0.0958695979766842,0.000909514112241411,2.1042581002206,0.0148863083690865,0.0104729006490604,0.000111288606001992,0.190821525153235,0.523125077740012,0.483315244274371,0.129910644301537,1.11928423258438,0.962435734329459,0.968171197960917,0.875078369905956,0.0195176072121524,0.112061275012451,0.0737460815047022
2,"PBE0",40,41,"Delta","CAT",1,0.00139904022216797,0.00847101211547852,0.256506073180394,0.158050926677295,0.00153243247995144,2.26462326008302,0.026846707163658,0.016653512447607,0.000162404056458809,0.242846408033524,0.386625962895039,0.355541758851795,0.125962572610267,0.963430604055401,0.908991621297539,0.92905143116632,0.792789968652038,0.30216229557982,0.330055591363197,0.229937304075235
2,"PBE0",80,81,"Delta","CAT",1,0.00318789482116699,0.0113260746002197,0.220664340268229,0.127884779947236,0.000704252439281045,1.96940084510559,0.0230057254497693,0.014073773128011,7.92450102698588E-05,0.193883724176577,0.288798624921747,0.267309989575599,0.115191857411298,0.83674922947894,0.916624097670002,0.944558418539243,0.821473354231975,0.33811551045832,0.334031216125157,0.230916927899686
2,"PBE0",160,161,"Delta","CAT",1,0.0107460021972656,0.0171468257904053,0.16549557845568,0.0996485231888613,0.00136290955347027,2.03876501519353,0.0169585510190527,0.011200296061121,0.000137724536134385,0.186735575928099,0.205160272749225,0.190353322151928,0.0852892631442169,0.682460486474201,0.955069105532775,0.961628775671637,0.858816614420063,0.164232605268888,0.265364163712536,0.18083855799373
2,"PBE0",320,321,"Delta","CAT",1,0.025925874710083,0.0283870697021484,0.14121005176003,0.07722763442621,0.000265818215152452,1.83654877317931,0.0144979146328629,0.00863489726053282,3.12676992200059E-05,0.168214085646906,0.149777100458798,0.138851561425744,0.0714666602298989,0.47615852993896,0.962832915510231,0.973761462514282,0.882993730407523,0.136619339214122,0.243715392728445,0.163126959247649
