"index","SCAN","Time_SCAN","PBE","Time_PBE"
15795,8.322819211034E-06,"NaN",9.168648300416E-06,187.0835
1062,0.0434399333278722,"NaN",0.0460289843263296,310.0508
22299,-0.0625462295983867,"NaN",-0.06106054056729,322.9283
6938,-0.0329029699653159,"NaN",-0.033202314766772,316.1561
20880,-0.0276464588123715,"NaN",-0.0224428550451324,343.099
39577,-0.00105059465968405,"NaN",-1.9119780816382E-05,303.5437
29375,0.0102606421367084,"NaN",0.0175083631616845,348.0582
11284,0.0261927631668577,"NaN",0.0343298463156749,357.313
21689,-0.0418278809925763,"NaN",-0.039820297948238,321.3297
44020,0.0260255736944595,"NaN",0.0407132852972385,368.5384
10344,0.000480629904770906,"NaN",0.000508203416394696,245.7824
41914,0.00210211396954296,"NaN",0.0023312020548976,284.4487
5122,-0.000283004369089672,"NaN",-0.000275921438952322,278.9635
19531,0.0519983898618359,"NaN",0.0545933519532588,318.9494
21962,0.00986744288654016,"NaN",0.0166384772803805,345.4111
9348,-0.00195013855415321,"NaN",-0.00183488926736346,287.8851
3627,-0.065226628552617,"NaN",-0.0639742603559275,324.9662
404,0.00959986067908267,"NaN",0.0131734836327843,309.8564
6893,0.0175259331449695,"NaN",0.0300483734148656,352.9934
38638,-0.00553528605032241,"NaN",0.00242549516062966,329.7676
7253,-0.00508574668844763,"NaN",-0.00342471646612682,314.9211
1685,0.0118263322791717,"NaN",0.0212255591152266,332.1355
37098,-0.0197125813147726,"NaN",-0.0189821379449698,361.592
18047,0.0229664872619245,"NaN",0.0258245474652207,315.406
18384,-0.0143143496512415,"NaN",-0.0106760218180723,327.8943
10677,-0.00647703454346512,"NaN",-0.00200415566456077,316.6135
23333,0.00698562506243336,"NaN",0.00672431918561076,283.6919
44078,0.026745877398922,"NaN",0.0306222045654945,331.1003
37819,-0.00820371901317564,"NaN",-0.00716258033050208,320.5698
6731,-0.0230202322063583,"NaN",-0.0226562555502198,346.0127
44417,0.0379164446736232,"NaN",0.0461979089227642,379.684
42944,0.00640973027814149,"NaN",0.00936635417231345,317.3216
27751,-0.00458125724773756,"NaN",-0.0027843969303968,345.4944
35358,-0.0395888743342722,"NaN",-0.0367164858246298,346.8092
11338,0.00218137321487856,"NaN",0.00480634691228955,292.0035
19115,-0.0307490897968629,"NaN",-0.025782840968503,346.5593
27355,-0.0516422992411213,"NaN",-0.0432290164682163,354.7525
25876,-0.0299744800124353,"NaN",-0.0257325821889063,342.2483
28699,0.00329914026364574,"NaN",0.0160833112861707,386.3443
43225,0.0117477770765652,"NaN",0.0252584135622206,352.397
11016,0.00132655017520048,"NaN",0.00143516325542017,255.0866
6588,0.00585156109641008,"NaN",0.00536387485166556,313.6565
43707,0.0171902485923032,"NaN",0.0199593498290426,322.5139
4289,-0.00475354523144455,"NaN",-0.00462583649195401,280.3562
41617,0.00155974041856165,"NaN",0.011327439515401,373.0978
45235,0.0686261756022006,"NaN",0.0867266637313794,382.0056
25913,-0.0251842423292193,"NaN",-0.0176657302365232,339.0053
10177,0.00033094892578507,"NaN",0.00136515415788855,272.6333
9433,0.00136291769346754,"NaN",0.00426139182830748,298.5361
12058,-0.00174153894684379,"NaN",-0.00185504758078484,238.7357
40330,-7.9344514978638E-05,"NaN",-7.078116712804E-05,228.5373
35123,-0.0440845450856185,"NaN",-0.0438737302303446,317.723
42715,0.00502936454601267,"NaN",0.00686440609571761,311.5942
41507,0.00161873031626298,"NaN",0.0121576312439708,340.0304
29058,-0.0140752291186327,"NaN",-0.000860341204109254,355.5365
38986,-0.00324503913776856,"NaN",-0.00173089887827953,312.7395
29288,0.000589588132211278,"NaN",0.0128190992672598,357.4862
6373,0.0296891381985076,"NaN",0.0340509524345456,333.4196
44595,0.0383087455005081,"NaN",0.041968973048533,338.0758
30641,-0.00872773523506766,"NaN",0.00969010541231721,375.0672
10637,-0.00785720750432194,"NaN",-0.00579152153909019,288.7319
23088,-0.00277732201483309,"NaN",-0.00254679178133393,266.8979
3638,-0.0544711879425124,"NaN",-0.0520069889864189,331.2923
463,-0.0229687367372044,"NaN",-0.0183849174678562,319.4774
33468,-0.070839604179891,"NaN",-0.0687794938808603,325.6905
7266,0.0144466440958607,"NaN",0.0212280164409757,338.1974
8102,-0.0549087750950399,"NaN",-0.0523024674571944,332.1592
42899,0.00580713082889423,"NaN",0.0126300634252345,330.6784
28966,0.0308643351224891,"NaN",0.0516267173572788,388.851
38721,-0.00484128431991911,"NaN",-0.0056080646419676,296.0815
11452,-0.00366136905591454,"NaN",-0.00381467835317952,236.5986
32557,-0.0052059043604944,"NaN",-0.00645556201303096,324.1177
36592,-0.026815326185972,"NaN",-0.0269613705578142,310.1029
14770,-9.2720208987454E-05,"NaN",-0.000136749802516114,218.0774
1676,-0.0141326149443048,"NaN",-0.014297636040647,291.7022
42545,0.00455887028337657,"NaN",0.00493395597914302,279.4535
20472,-0.0288953320407918,"NaN",-0.0238403078033672,342.843
8201,0.0153546333952653,"NaN",0.0162907642652213,284.0332
26242,-0.00232783144245427,"NaN",0.00036908917369914,299.8663
19882,-0.00901632511136123,"NaN",-0.00943199786140786,287.0764
20564,-0.0448353847298146,"NaN",-0.0410630085635524,335.8073
23901,-0.00392044345834266,"NaN",-0.00364602579373666,273.0715
24859,0.0134992053035964,"NaN",0.0170776930275789,314.9522
11562,0.0103824218971803,"NaN",0.0117415635601818,297.8042
33485,-0.0698153372117603,682.5309,-0.0666063971327498,336.9403
13832,0.000532953593428874,413.3076,0.000602925024396378,213.3817
17953,-0.0521520216941924,676.9467,-0.0471895854640663,340.2705
23225,0.00542826714888327,517.4911,0.0055521140639011,262.0063
23758,-0.00167348152275827,568.9423,-0.00109497739813598,287.7786
