levels,lowest,high_level,low_level,method,datasets,S_shared,train_time,test_time,mae_error,median_ae_error,minimum_ae_error,maximum_ae_error,mae_relative,median_ae_relative,minimum_ae_relative,maximum_ae_relative,mae_std,median_ae_std,minimum_ae_std,maximum_ae_std,pearson_error,spearman_error,kendall_error,pearson_std,spearman_std,kendall_std
2,PBE,5,3,Multitask,A,1.0,0.0002989768981933594,0.0029289722442626953,0.017941384541400523,0.010511642701559683,2.0417627773777357e-5,0.2096418300746172,12.107277008446578,1.062893134299343,0.008423703072244418,860.4967396107659,1.0546030363974714,0.9772427240339829,0.462627495296875,2.5026098998152446,0.26492906077014805,0.31239964572393186,0.21460690694372317,0.17902291200011194,-0.04816306799871092,-0.03530564263322884
2,PBE,5,4,Multitask,AT,1.0,0.06740808486938477,0.021567106246948242,0.014197558698370524,0.008691831698217217,1.828508889929574e-5,0.13323543151965583,17.414012533432107,0.8025027570067691,0.0029920931664705205,1523.5225961768533,0.9072069272651679,0.863248235995095,0.4526206249125329,1.8389340879537488,0.8141098819672649,0.7529315945703945,0.5752045071803964,0.17350686168022214,0.025951791521401577,0.014341692789968653
2,PBE,10,5,Multitask,A,1.0,0.0002570152282714844,0.002885103225708008,0.018075997537937503,0.01029719770808458,3.433849951520358e-5,0.21387094950734944,26.87616215187403,1.2901212765277288,0.002716059514257302,2754.2693453294296,0.8280914571634599,0.7609502209684152,0.32765449482546716,2.4118631465948956,0.2915657865835606,0.3717275281953848,0.26433504807612246,0.358237043278076,0.17547717751149913,0.11704545454545455
2,PBE,10,6,Multitask,AT,1.0,0.0777597427368164,0.02210545539855957,0.013117211882104232,0.007971962503529531,4.0377291662506724e-5,0.13219656972041172,11.714284196618966,0.8084238687812816,0.003496911359935843,1219.3547019730893,0.7288505752170302,0.6817177249799162,0.32097823875690434,1.7921756970496112,0.8166084968161128,0.7637618454439556,0.5798677450013227,0.2590941184134571,0.03192767995781209,0.019670846394984325
2,PBE,20,10,Multitask,A,1.0,0.0004470348358154297,0.004185914993286133,0.020355155874052736,0.011607781422505414,5.092509118932026e-5,0.22680910311313135,20.26953058187018,1.4769859646328256,0.0009870786498710406,1158.1755900159208,0.6580385151922982,0.585227059057,0.29616303084621504,2.1838768161901556,0.20752682536666078,0.2978451743063473,0.22166054398377982,0.31990952521939287,0.20674091055576715,0.14032131661442007
2,PBE,20,11,Multitask,AT,1.0,0.15578484535217285,0.04163217544555664,0.015725525414569,0.01006322034886199,2.674666076377466e-5,0.16911891468083334,15.66195077075702,1.1161295277883434,0.0027058337188592164,1352.8541263322372,0.5813224486307305,0.5309009421752175,0.28455190466849595,1.6618784404390332,0.5498688734818463,0.5725919047871902,0.4286456042369973,0.305230158918657,0.1702271262414672,0.11892633228840126
2,PBE,40,20,Multitask,A,1.0,0.001046895980834961,0.004040956497192383,0.01744392247440287,0.010857482423007974,2.4511576085837518e-5,0.15614544152048668,15.51978987678863,1.2084081277611483,0.0034940711682676195,1615.1389593224399,0.5142742203777637,0.4567392185101543,0.20510507777922227,1.8706041349633493,0.5211677301897439,0.49766052884708284,0.3707274067636434,0.31035935975435824,0.07818423519760935,0.05203761755485893
2,PBE,40,21,Multitask,AT,1.0,0.3415358066558838,0.0785226821899414,0.013195252362098783,0.009380945737123454,2.404887051833367e-6,0.12582600621076542,13.676100365893205,0.7185269291062248,0.0036901012272738615,1614.5662885606512,0.45255750178434895,0.4052638774394175,0.19482656313958951,1.4655803365998639,0.7848405422899885,0.7969040940425942,0.6028704391263963,0.16256652104460306,0.007960404886766472,0.004036050156739812
2,PBE,80,40,Multitask,A,1.0,0.002833843231201172,0.009195089340209961,0.01556588047497367,0.009763129722569314,8.432619193779467e-5,0.12108916109162642,19.228238195831867,1.0634068479621497,0.001770604001241362,2780.514786045997,0.3925601394620214,0.35671640982288766,0.15795278686628172,1.4768565552248012,0.6654553541362096,0.6104090673299492,0.4516091114896262,0.3261879104472323,0.10450590337796267,0.07065047021943574
2,PBE,80,41,Multitask,AT,1.0,0.9753730297088623,0.09849905967712402,0.011919998305892264,0.00844519517827027,8.332741746041109e-6,0.09839727378433444,19.00167656980397,0.765273597872526,0.006660052227228648,2780.3499814279903,0.3520348192421455,0.32295839014125816,0.14704943273345067,1.1389687003696212,0.8314406094145954,0.7746135198783431,0.592838599780538,0.2777109454725707,0.07746572232150704,0.0509012539184953
