"levels","lowest","high_level","low_level","method","datasets","task_fractions","train_time","test_time","mae_error","median_ae_error","minimum_ae_error","maximum_ae_error","mae_relative","median_ae_relative","minimum_ae_relative","maximum_ae_relative","mae_std","median_ae_std","minimum_ae_std","maximum_ae_std","pearson_error","spearman_error","kendall_error","pearson_std","spearman_std","kendall_std"
2,"PBE0",320,321,"Delta","CAT",1,0.0269420146942139,0.0292668342590332,0.124504495459184,0.0789093869612962,0.000563380651376788,1.5014000104982,0.0128459752601493,0.00867899697299724,4.79460653862982E-05,0.146039220204392,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.966148163168599,0.964314592915946,0.882170846394984,0.22324378284651,0.269629830369437,0.178644200626959
2,"PBE0",5,6,"Delta","CAT",1,0.000162839889526367,0.00669121742248535,0.214514336034065,0.196966897053755,3.72016762267835E-06,1.33001301956866,0.022636266518735,0.021376256795093,4.24401943169729E-07,0.124647047274836,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.950949096104744,0.945702106465883,0.801724137931034,0.233163134087656,0.225114991357337,0.152155172413793
2,"PBE0",10,11,"Delta","CAT",1,0.000293970108032227,0.00717997550964356,0.164615252146884,0.12244462637668,0.000442541943557195,1.26470709438868,0.0171505333888169,0.0131757064902264,5.26291153593047E-05,0.118526663020346,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.963150477025203,0.961185289895409,0.848001567398119,0.266775132325498,0.220761799431635,0.148942006269592
2,"PBE0",20,21,"Delta","CAT",1,0.000731945037841797,0.00782299041748047,0.11859718768089,0.0800700477164091,0.000201247725103659,1.51600861117425,0.012287367458467,0.00861427295092297,1.94108132245125E-05,0.142078306186342,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.97082387416433,0.966915082178537,0.882210031347962,0.138868291290489,0.123317244309026,0.0831112852664577
2,"PBE0",40,41,"Delta","CAT",1,0.0014808177947998,0.00907611846923828,0.154110152983789,0.0984423969780582,0.000201739658116512,1.60549184824835,0.0162726311787567,0.0104093483147484,2.22724121898907E-05,0.150464555882978,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.959420669824501,0.947124849852049,0.836755485893417,0.246119238236677,0.290907992265549,0.196551724137931
2,"PBE0",80,81,"Delta","CAT",1,0.00342679023742676,0.0120131969451904,0.131463318290434,0.0845598273647532,2.80855741636166E-05,1.4672986849446,0.0137619777686388,0.00932961179890045,2.89446812250853E-06,0.137875026634086,0.279476488688587,0.25428999140839,0.107738370529079,1.14205089579236,0.967280157630968,0.959118741393959,0.864537617554859,0.209467286672456,0.248831043271907,0.168573667711599
2,"PBE0",160,161,"Delta","CAT",1,0.0114660263061523,0.0179450511932373,0.140279943886358,0.0856921850347492,0.000241027233566976,1.53573735829666,0.0144384567563056,0.00916377544743179,2.32476397453918E-05,0.143927258068059,0.20060836073532,0.187417757123372,0.0856116282550027,0.779995791686864,0.964141824797214,0.961899041982832,0.873236677115987,0.19165333902379,0.214223771716521,0.145611285266458
2,"PBE0",320,321,"Delta","CAT",1,0.026853084564209,0.0293049812316895,0.124504495459184,0.0789093869612962,0.000563380651376788,1.5014000104982,0.0128459752601493,0.00867899697299724,4.79460653862982E-05,0.146039220204392,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.966148163168599,0.964314592915946,0.882170846394984,0.22324378284651,0.269629830369437,0.178644200626959
2,"PBE0",5,6,"Delta","CAT",1,0.000161170959472656,0.00675201416015625,0.214514336034065,0.196966897053755,3.72016762267835E-06,1.33001301956866,0.022636266518735,0.021376256795093,4.24401943169729E-07,0.124647047274836,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.950949096104744,0.945702106465883,0.801724137931034,0.233163134087656,0.225114991357337,0.152155172413793
2,"PBE0",10,11,"Delta","CAT",1,0.00030207633972168,0.00716686248779297,0.164615252146884,0.12244462637668,0.000442541943557195,1.26470709438868,0.0171505333888169,0.0131757064902264,5.26291153593047E-05,0.118526663020346,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.963150477025203,0.961185289895409,0.848001567398119,0.266775132325498,0.220761799431635,0.148942006269592
2,"PBE0",20,21,"Delta","CAT",1,0.000721931457519531,0.00784516334533691,0.11859718768089,0.0800700477164091,0.000201247725103659,1.51600861117425,0.012287367458467,0.00861427295092297,1.94108132245125E-05,0.142078306186342,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.97082387416433,0.966915082178537,0.882210031347962,0.138868291290489,0.123317244309026,0.0831112852664577
2,"PBE0",40,41,"Delta","CAT",1,0.00283217430114746,0.00916695594787598,0.154110152983789,0.0984423969780582,0.000201739658116512,1.60549184824835,0.0162726311787567,0.0104093483147484,2.22724121898907E-05,0.150464555882978,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.959420669824501,0.947124849852049,0.836755485893417,0.246119238236677,0.290907992265549,0.196551724137931
2,"PBE0",80,81,"Delta","CAT",1,0.0035851001739502,0.0123929977416992,0.131463318290434,0.0845598273647532,2.80855741636166E-05,1.4672986849446,0.0137619777686388,0.00932961179890045,2.89446812250853E-06,0.137875026634086,0.279476488688587,0.25428999140839,0.107738370529079,1.14205089579236,0.967280157630968,0.959118741393959,0.864537617554859,0.209467286672456,0.248831043271907,0.168573667711599
2,"PBE0",160,161,"Delta","CAT",1,0.0163748264312744,0.0180630683898926,0.140279943886358,0.0856921850347492,0.000241027233566976,1.53573735829666,0.0144384567563056,0.00916377544743179,2.32476397453918E-05,0.143927258068059,0.20060836073532,0.187417757123372,0.0856116282550027,0.779995791686864,0.964141824797214,0.961899041982832,0.873236677115987,0.19165333902379,0.214223771716521,0.145611285266458
2,"PBE0",320,321,"Delta","CAT",1,0.0269110202789307,0.0294101238250732,0.124504495459184,0.0789093869612962,0.000563380651376788,1.5014000104982,0.0128459752601493,0.00867899697299724,4.79460653862982E-05,0.146039220204392,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.966148163168599,0.964314592915946,0.882170846394984,0.22324378284651,0.269629830369437,0.178644200626959
2,"PBE",5,6,"Delta","CT",1,0.000243186950683594,0.00638890266418457,0.283947479530767,0.224852621137254,0.00306548712328886,1.38255454861329,0.0298749078358201,0.0247648719351655,0.000298904855245513,0.125697677405295,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.920215073540967,0.919697213839979,0.752076802507837,0.199366001700386,0.120677936307972,0.081974921630094
