task,variance,lengthscale,rho,seed,objective_mle,objective_mae
PBE_SCAN,1.17514136858306,1.04940689937452,1.0,90,-981.399687574426,0.00107023764357015
SCAN_PBE_CCSDT,1.17514136858306,1.04940689937452,0.811345991970619,90,-981.399687574426,0.00107023764357015
PBE_SCAN_CCSDT,1.17514136858306,1.04940689937452,-0.270734239113682,90,-981.399687574426,0.00107023764357015
SCAN_PBE,0.288980946878629,1.04940689937452,1.0,100,-981.399687574426,0.000874219015439575
PBE_SCAN,0.288980946878629,1.04940689937452,1.0,100,-981.399687574426,0.000874219015439575
SCAN_PBE_CCSDT,0.288980946878629,1.04940689937452,0.811345991970619,100,-981.399687574426,0.000874219015439575
PBE_SCAN_CCSDT,0.288980946878629,1.04940689937452,-0.270734239113682,100,-981.399687574426,0.000874219015439575
CCSDT_PBE,5.72858850589163,1.05035592665316,1.0,63,-851.643025601123,0.00201462697700396
CCSDT_PBE_SCAN,5.72858850589163,1.05035592665316,0.782394238024017,63,-851.643025601123,0.00201462697700396
SCAN_PBE,1.58662939538728,1.04940689937451,1.0,86,-981.399687574426,0.000807612995325355
PBE_SCAN,1.58662939538728,1.04940689937451,1.0,86,-981.399687574426,0.000807612995325355
SCAN_PBE_CCSDT,1.58662939538728,1.04940689937451,0.811345991970619,86,-981.399687574426,0.000807612995325355
PBE_SCAN_CCSDT,1.58662939538728,1.04940689937451,-0.270734239113682,86,-981.399687574426,0.000807612995325355
SCAN_PBE,0.816983879751255,1.04940689937451,1.0,60,-981.399687574427,0.00109584255083924
PBE_SCAN,0.816983879751255,1.04940689937451,1.0,60,-981.399687574427,0.00109584255083924
SCAN_PBE_CCSDT,0.816983879751255,1.04940689937451,0.811345991970619,60,-981.399687574427,0.00109584255083924
PBE_SCAN_CCSDT,0.816983879751255,1.04940689937451,-0.270734239113682,60,-981.399687574427,0.00109584255083924
SCAN_PBE,1.6025791343267,1.04940689937452,1.0,81,-981.399687574426,0.00109823457531033
PBE_SCAN,1.6025791343267,1.04940689937452,1.0,81,-981.399687574426,0.00109823457531033
SCAN_PBE_CCSDT,1.6025791343267,1.04940689937452,0.811345991970619,81,-981.399687574426,0.00109823457531033
PBE_SCAN_CCSDT,1.6025791343267,1.04940689937452,-0.270734239113682,81,-981.399687574426,0.00109823457531033
SCAN_PBE,2.84574777996947,1.04940689937451,1.0,67,-981.399687574427,0.000978530179950606
PBE_SCAN,2.84574777996947,1.04940689937451,1.0,67,-981.399687574427,0.000978530179950606
SCAN_PBE_CCSDT,2.84574777996947,1.04940689937451,0.811345991970619,67,-981.399687574427,0.000978530179950606
PBE_SCAN_CCSDT,2.84574777996947,1.04940689937451,-0.270734239113682,67,-981.399687574427,0.000978530179950606
