task,variance,lengthscale,rho,seed,objective_mle,objective_mae
SCAN,17.64960994336959,1.1868245057987359,0.9969684649939292,82,-878.638137475351,0.0021371906537151855
SCAN,3.4007364051177107,1.186824505798758,0.9969684649939292,6,-878.6381374753507,0.0016591483290465557
CCSDT,12.254802407760476,1.5629639446822008,1.0,91,-573.8138904005234,0.01319278266498179
CCSDT,9.399157117692925,1.5629639446821961,1.0,92,-573.8138904005226,0.013412425438654974
PBE,5.604665829465483,1.0695058707699083,0.9854070655744404,10,-839.7972184505547,0.002701097639786943
CCSDT,6.651735966522183,1.5629639446822328,1.0,54,-573.8138904005235,0.014072125620777304
PBE,1.8502868028733368,1.069505870769892,0.9854070655744404,57,-839.7972184505547,0.002033493291030976
PBE,7.403929618330839,1.069505870769912,0.9854070655744404,92,-839.7972184505544,0.0022892562256906783
PBE,1.4159149024456568,1.069505870769894,0.9854070655744404,74,-839.7972184505545,0.0022487274470657046
CCSDT,6.875981171270628,1.562963944682251,1.0,63,-573.8138904005234,0.014086135647277587
PBE,3.0125964111112338,1.0695058707698792,0.9854070655744404,94,-839.7972184505552,0.0026213587336554587
CCSDT,12.287822581092247,1.5629639446822334,1.0,90,-573.8138904005235,0.00953641517877579
SCAN,2.4584307373174195,1.186824505798774,0.9969684649939292,90,-878.6381374753512,0.0015897536402614354
CCSDT,2.793773801531007,1.5629639446822932,1.0,87,-573.8138904005235,0.015174317239597028
PBE,3.6184183105080128,1.069505870769888,0.9854070655744404,87,-839.7972184505547,0.0020151914207670687
PBE,3.940038645595879,1.069505870769902,0.9854070655744404,100,-839.7972184505546,0.0018130419790121624
CCSDT,74.66271869742873,1.5629639446822288,1.0,96,-573.8138904005231,0.013489051647301577
PBE,1.9732129287124238,1.0695058707698863,0.9854070655744404,68,-839.7972184505554,0.001648985883614904
SCAN,0.6490812532264754,1.1868245057987408,0.9969684649939292,50,-878.6381374753514,0.0018027810615691014
PBE,5.244707140236956,1.0695058707699068,0.9854070655744404,96,-839.797218450555,0.002076560309782542
CCSDT,12.128071323458233,1.5629639446822259,1.0,83,-573.813890400523,0.013105733880625064
CCSDT,25.368941447961063,1.5629639446822625,1.0,73,-573.8138904005224,0.011475897079903258
PBE,2.3535959583374693,1.069505870769901,0.9854070655744404,79,-839.7972184505549,0.002211470119773397
PBE,2.2883151650450393,1.069505870769889,0.9854070655744404,67,-839.797218450555,0.0021521863181283483
CCSDT,1.7993655941782738,1.5629639446822503,1.0,99,-573.8138904005228,0.015857113182693835
PBE,3.9758473807929113,1.06950587076991,0.9854070655744404,93,-839.7972184505545,0.0024600682550051114
PBE,2.6739131631371817,1.0695058707699028,0.9854070655744404,86,-839.7972184505551,0.0020202362375774264
PBE,6.844396759404904,1.069505870769898,0.9854070655744404,60,-839.7972184505545,0.001974701823408631
PBE,1.7591660895095136,1.069505870769898,0.9854070655744404,70,-839.7972184505547,0.0020079700113577775
CCSDT,3.8056941856000392,1.5629639446822146,1.0,98,-573.8138904005232,0.01035754826041483
CCSDT_SCAN,7.5992090750144,1.1786375533146,1.0,20,-881.662352145915,0.00161640510344982
CCSDT_SCAN_PBE,7.5992090750144,1.1786375533146,0.782394238024017,20,-881.662352145915,0.00161640510344982
CCSDT_SCAN,9.76961204668573,1.17863755331459,1.0,40,-881.662352145915,0.00210122738284115
CCSDT_SCAN_PBE,9.76961204668573,1.17863755331459,0.782394238024017,40,-881.662352145915,0.00210122738284115
CCSDT_SCAN,24.6885624112927,1.1786375533146,1.0,20,-881.662352145915,0.00160181645422824
CCSDT_SCAN_PBE,24.6885624112927,1.1786375533146,0.782394238024017,20,-881.662352145915,0.00160181645422824
CCSDT_SCAN,2933.13858881392,1.1786375533146,1.0,16,-881.662352145915,0.00209394783563712
CCSDT_SCAN_PBE,2933.13858881392,1.1786375533146,0.782394238024017,16,-881.662352145915,0.00209394783563712
CCSDT_SCAN,2.83724548931387,1.1786375533146,1.0,16,-881.662352145915,0.00171397551543173
CCSDT_SCAN_PBE,2.83724548931387,1.1786375533146,0.782394238024017,16,-881.662352145915,0.00171397551543173
CCSDT_SCAN,8.68231682833239,1.17863755331459,1.0,42,-881.662352145914,0.00191632456995519
CCSDT_SCAN_PBE,8.68231682833239,1.17863755331459,0.782394238024017,42,-881.662352145914,0.00191632456995519
CCSDT_SCAN,7.65501066223614e-9,1.17863755331459,1.0,28,-881.662352145914,0.00211879773003683
CCSDT_SCAN_PBE,7.65501066223614e-9,1.17863755331459,0.782394238024017,28,-881.662352145914,0.00211879773003683
CCSDT_SCAN,0.678099880550168,1.17863755331461,1.0,13,-881.662352145914,0.00172041330510455
CCSDT_SCAN_PBE,0.678099880550168,1.17863755331461,0.782394238024017,13,-881.662352145914,0.00172041330510455
